Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Wins
2,4,7,11,11,1,26,34,2,2,24
0,3,4,6,2,14,14,27,27,3,24
0,0,0,15,1,1,22,27,34,0,23
3,3,3,17,3,3,18,23,24,3,23
0,0,0,12,16,0,0,0,36,36,23
3,6,6,6,13,16,21,27,1,1,22
0,0,0,0,19,21,0,29,31,0,22
0,0,0,0,12,16,26,0,0,46,22
1,1,1,1,11,11,13,32,16,13,21
1,2,3,4,10,15,15,20,20,10,20
0,0,3,2,6,9,20,21,35,4,20
0,14,1,1,20,20,22,22,0,0,19
1,1,1,1,11,16,21,21,26,1,19
0,0,1,1,1,12,25,27,33,0,19
2,2,10,11,2,21,21,17,13,1,19
3,3,3,5,5,5,5,31,35,5,18
1,1,2,3,6,10,21,23,2,31,18
11,11,4,4,11,12,13,14,10,10,17
10,1,1,1,1,1,1,28,28,28,16
2,2,2,2,2,5,12,21,21,31,16
0,0,0,8,1,1,15,20,25,30,15
20,1,20,1,20,1,0,0,21,16,15
14,14,14,14,14,14,14,2,0,0,14
0,2,5,6,8,12,12,15,15,25,13
12,13,15,5,5,14,13,9,7,7,13
10,10,10,10,21,10,11,8,9,1,13
9,11,9,11,9,11,9,11,9,11,12
12,11,11,11,11,11,11,11,11,0,11
5,2,2,2,2,2,2,19,27,37,11
10,10,10,10,10,10,10,10,10,10,10
20,10,20,0,20,10,0,5,10,5,7
0,0,0,0,0,0,10,20,30,40,7
1,1,32,30,30,2,2,2,0,0,3
0,0,0,1,0,0,0,30,69,0,2
